,date,time,test,negative,confirmed,released,deceased,real_Rt,today_confirmed,after5_confirmed,cal_Rt
0,1/20/2020,16,1,0,1,0,0,1.5,0.0,0.0,0.0
1,1/21/2020,16,1,0,1,0,0,1.5,0.0,1.0,0.0
2,1/22/2020,16,4,3,1,0,0,1.5,0.0,1.0,0.0
3,1/23/2020,16,22,21,1,0,0,1.5,0.0,0.0,0.0
4,1/24/2020,16,27,25,2,0,0,1.5,1.0,0.0,0.0
5,1/25/2020,16,27,25,2,0,0,1.5,0.0,2.0,0.0
6,1/26/2020,16,51,47,3,0,0,1.5,1.0,5.0,5.0
7,1/27/2020,16,61,56,4,0,0,1.5,1.0,1.0,1.0
8,1/28/2020,16,116,97,4,0,0,1.5,0.0,3.0,0.0
9,1/29/2020,16,187,155,4,0,0,1.5,0.0,0.0,0.0
10,1/30/2020,16,246,199,6,0,0,1.5,2.0,1.0,0.5
11,1/31/2020,16,312,245,11,0,0,1.5,5.0,2.0,0.4
12,2/1/2020,16,371,289,12,0,0,1.5,1.0,5.0,5.0
13,2/2/2020,16,429,327,15,0,0,1.5,3.0,1.0,0.3333333333333333
14,2/3/2020,16,490,414,15,0,0,1.5,0.0,0.0,0.0
15,2/4/2020,16,607,462,16,0,0,1.5,1.0,3.0,3.0
16,2/5/2020,16,714,522,18,1,0,1.5,2.0,0.0,0.0
17,2/6/2020,16,885,693,23,2,0,1.5,5.0,1.0,0.2
18,2/7/2020,16,1352,1001,24,2,0,1.5,1.0,0.0,0.0
19,2/8/2020,16,2097,1134,24,2,0,1.5,0.0,0.0,0.0
20,2/9/2020,16,2598,1683,27,3,0,0.81,3.0,0.0,0.0
21,2/10/2020,16,3110,2552,27,4,0,0.81,0.0,0.0,0.0
22,2/11/2020,16,4325,3535,28,4,0,0.81,1.0,1.0,1.0
23,2/12/2020,16,5624,4811,28,7,0,0.81,0.0,1.0,0.0
24,2/13/2020,16,6511,5921,28,7,0,0.81,0.0,1.0,0.0
25,2/14/2020,16,7242,6679,28,7,0,0.81,0.0,20.0,0.0
26,2/15/2020,16,7734,7148,28,9,0,0.81,0.0,53.0,0.0
27,2/16/2020,16,8161,7647,29,9,0,9.35,1.0,100.0,10.0
28,2/17/2020,16,8718,7980,30,10,0,9.35,1.0,229.0,10.0
29,2/18/2020,16,9772,8923,31,12,0,9.35,1.0,169.0,10.0
30,2/19/2020,16,11173,9973,51,16,0,9.35,20.0,231.0,10.0
31,2/20/2020,16,13202,11238,104,16,1,9.35,53.0,144.0,2.7169811320754715
32,2/21/2020,16,16400,13016,204,17,2,9.35,100.0,284.0,2.84
33,2/22/2020,16,21586,15116,433,18,2,9.35,229.0,505.0,2.2052401746724892
34,2/23/2020,16,26179,17520,602,18,6,5.66,169.0,571.0,3.378698224852071
